id;scientific_name;rank;genus;family;year;author;bibliography;common_name;family_common_name;image_url;flower_color;flower_conspicuous;foliage_color;foliage_texture;fruit_color;fruit_conspicuous;fruit_months;bloom_months;ground_humidity;growth_form;growth_habit;growth_months;growth_rate;edible_part;vegetable;edible;light;soil_nutriments;soil_salinity;anaerobic_tolerance;atmospheric_humidity;average_height_cm;maximum_height_cm;minimum_root_depth_cm;ph_maximum;ph_minimum;planting_days_to_harvest;planting_description;planting_sowing_description;planting_row_spacing_cm;planting_spread_cm;synonyms;distributions;common_names;url_usda;url_tropicos;url_tela_botanica;url_powo;url_plantnet;url_gbif;url_openfarm;url_catminat;url_wikipedia_en
101119;Abies balsamea;species;Abies;Pinaceae;1768;(L.) Mill.;Gard. Dict. ed. 8: n.º 3 (1768);Balsam fir;Pine family;https://bs.floristic.org/image/o/46adef49b83992d971359f4080559520b1363920;yellow;false;green;medium;brown;false;;;;Single Stem;Tree;;Slow;;false;false;7;5;0;None;5;1828;1828;50;6.0;4.0;;;;;;Pinus balsamea,Pinus taxifolia,Picea balsamea,Peuce balsamea;Alberta,Connecticut,Iowa,Labrador,Maine,Manitoba,Masachusettes,Michigan,Minnesota,New Brunswick,New Hampshire,New Jersey,New York,Newfoundland,Nova Scotia,Ontario,Pennsylvania,Prince Edward I.,Québec,Saskatchewan,Vermont,Virginia,West Virginia,Wisconsin;Canada balsam,Balsam,Balsam fir,Fir balsam,Eastern fir,Canadian Fir,Balm of Gilead fir,American silver Fir;https://plants.usda.gov/core/profile?symbol=ABBA;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1084057-2;https://identify.plantnet.org/species/the-plant-list/Abies balsamea (L.) Mill.;https://www.gbif.org/species/2685383;;;https://en.wikipedia.org/wiki/Abies balsamea
101124;Abies bracteata;species;Abies;Pinaceae;1845;(D.Don) Poit.;Rev. Hort. (Paris), sér. 2, 4: 7 (1845);Bristlecone fir;Pine family;http://d2seqvvyy3b8p2.cloudfront.net/48f25e972c714bd8eb9d473de31c48f4.jpg;;;;;;;;;;;Tree;;;;false;false;;;;;;;;;;;;;;;;Abies venusta,Pinus bracteata,Picea bracteata,Pinus venusta;California;;https://plants.usda.gov/core/profile?symbol=ABBR;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1146685-2;;https://www.gbif.org/species/2685479;;;https://en.wikipedia.org/wiki/Abies bracteata
101126;Abies concolor;species;Abies;Pinaceae;1861;(Gordon & Glend.) Lindl. ex Hildebr.;Verh. Naturhist. Vereines Preuss. Rheinl. Westphalens 18: 261 (1861);White fir;Pine family;https://bs.floristic.org/image/o/f3bd61a94db7294e0fad1eb060e1a8903b8338b7;yellow;false;;medium;;false;;;;Single Stem;Tree;;Slow;;false;false;7;5;0;None;5;3657;3657;101;7.8;5.5;;;;;;Abies concolor var. lowiana,Abies concolor f. atroviolacea,Abies lowiana,Abies concolor var. baja-californica,Abies concolor var. martinezii,Abies concolor subsp. martinezii,Abies concolor subsp. viridula,Abies concolor subsp. lowiana,Abies concolor subsp. baja-californica,Picea lowiana,Abies lowiana var. viridula,Picea lowii,Pinus concolor,Picea concolor,Pinus lowiana,Abies concolor var. concolor;Arizona,California,Colorado,Idaho,Mexico Northeast,Mexico Northwest,Nevada,New Mexico,Oregon,Utah,Wyoming,Czechoslovakia,Vermont;Abeto blanco,Abeto del noroeste,Sierra White Fir,White Fir,White silver fir,Wa,Colorado fir,Balsam fir,Concolor fir,Silver fir,White balsam,California White Fir,Low's Fir,Colorado white fir;https://plants.usda.gov/core/profile?symbol=ABCO;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1031026-2;https://identify.plantnet.org/species/the-plant-list/Abies concolor (Gordon) Lindl. ex Hildebr.;https://www.gbif.org/species/2685580;;;https://en.wikipedia.org/wiki/Abies concolor
101129;Abies fraseri;species;Abies;Pinaceae;1817;(Pursh) Poir.;J.B.A.M.de Lamarck, Encycl., Suppl. 5: 35 (1817);Fraser fir;Pine family;https://bs.floristic.org/image/o/1369899495e9832e3290107b2e2c1a7006703ad9;purple;false;green;medium;brown;true;;;;Single Stem;Tree;;Moderate;;false;false;;;;Low;;1676;1676;15;5.5;3.5;;;;;;Picea hudsonia,Abies balsamea subsp. fraseri,Picea fraseri;North Carolina,Tennessee,Virginia;Fraser fir,Fraser balsam fir,Balsam fir,Eastern fir,Southern balsam,Southern fir,Fraser's Fir,She Balsam,She-balsam,Southern balsam fir;https://plants.usda.gov/core/profile?symbol=ABFR;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1030488-2;https://identify.plantnet.org/species/the-plant-list/Abies fraseri (Pursh) Poir.;https://www.gbif.org/species/2685318;;;https://en.wikipedia.org/wiki/Fraser fir
101131;Abies grandis;species;Abies;Pinaceae;1833;(Douglas ex D.Don) Lindl.;Penny Cyclop. 1: 30 (1833);Grand fir;Pine family;https://bs.floristic.org/image/o/027b42ff671699425c44a0e04c65a92e338cca2b;;false;;medium;;false;;;;Single Stem;Tree;;Moderate;;false;false;7;5;0;Low;6;4572;4572;50;7.5;4.5;;;;;;Abies grandis var. idahoensis,Abies grandis f. johnsonii,Abies lasiocarpa,Picea parsonsii,Abies parsonsiana,Abies excelsior,Abies gordoniana,Abies occidentalis,Abies aromatica,Pinus grandis,Abies grandis var. grandis,Abies grandis subsp. idahoensis,Picea grandis,Abies balsamea subsp. lasiocarpa,Pinus lasiocarpa;British Columbia,California,Idaho,Montana,Oregon,Washington,Czechoslovakia,Denmark,Germany,Great Britain,Ireland,Italy,Norway,Switzerland,Sweden,Iceland,Yukon,Wyoming,Northwest Territorie,New Mexico,Nevada,Colorado,Arizona,Alberta,Alaska;Giant Fir,Grand fir,Lowland fir,Lowland white fir,Yellow fir,Silver fir,White fir,Western Balsam Fir,Alpine fir,Subalpine fir,Rocky Mountain fir,Balsam fir,Western balsam fir,White balsam,Alpine Fur;https://plants.usda.gov/core/profile?symbol=ABGR;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1033427-2;https://identify.plantnet.org/species/the-plant-list/Abies grandis (Douglas ex D.Don) Lindl.;https://www.gbif.org/species/2685361;;;https://en.wikipedia.org/wiki/Abies lasiocarpa
101136;Abies guatemalensis;species;Abies;Pinaceae;1939;Rehder;J. Arnold Arbor. 20: 185 (1939);Guatemalan fir;Pine family;http://d2seqvvyy3b8p2.cloudfront.net/9b486274f2892853ba24dac89343d2e5.jpg;;;;;;;;;;;Tree;;;;false;false;;;;;;;;;;;;;;;;Abies guatemalensis var. ixtepejiensis,Abies guatemalensis var. rushforthii,Abies guatemalensis var. tamaulipasensis,Abies guatemalensis subsp. tamaulipasensis,Abies zapotekensis,Abies guatemalensis subsp. rushforthii,Abies guatemalensis subsp. longibracteata,Abies guatemalensis var. longibracteata,Abies guatemalensis subsp. ixtepejiensis,Abies tacanensis,Abies guatemalensis subsp. zapotekensis;El Salvador,Guatemala,Honduras,Mexico Northeast,Mexico Southeast,Mexico Southwest;;https://plants.usda.gov/core/profile?symbol=ABGU;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:676575-1;;https://www.gbif.org/species/2685507;;;https://en.wikipedia.org/wiki/Abies guatemalensis
101139;Abies lasiocarpa var. arizonica;var;Abies;Pinaceae;1898;(Merriam) Lemmon;Bull. Sierra Club 2: 167 (1898);Subalpine fir;Pine family;;;;green;medium;brown;;;;;Single Stem;Tree;;Slow;;false;false;;;;None;;2743;2743;101;6.5;4.0;;;;;;Abies arizonica,Pinus beissneri,Abies lasiocarpa subsp. arizonica,Abies bifolia var. arizonica;Arizona,Colorado,New Mexico;;https://plants.usda.gov/core/profile?symbol=ABLA;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77189609-1;;https://www.gbif.org/species/2685374;;;https://en.wikipedia.org/wiki/Abies lasiocarpa var. arizonica
101141;Abies lasiocarpa var. lasiocarpa;var;Abies;Pinaceae;1849;(Hook.) Nutt.;N. Amer. Sylv. 3: 138 (1849);Subalpine fir;Pine family;;;;;medium;;;;;;Single Stem;Tree;;Slow;;false;false;;;;None;;2743;2743;101;6.5;4.0;;;;;;Abies lasiocarpa var. bifolia,Abies bifolia,Abies amabilis,Abies subalpina,Picea bifolia,Abies lasciocarpa,Abies balsamea var. fallax,Abies lasiocarpa subsp. bifolia,Pinus amabilis,Picea amabilis;Alaska,Alberta,British Columbia,California,Colorado,Idaho,Montana,Nevada,Northwest Territorie,Oregon,Washington,Wyoming,Yukon,Iceland,Sweden;;https://plants.usda.gov/core/profile?symbol=ABLA;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77172457-1;;https://www.gbif.org/species/2685524;;;https://en.wikipedia.org/wiki/Abies amabilis
101150;Abies magnifica;species;Abies;Pinaceae;1863;A.Murray bis;Proc. Roy. Hort. Soc. London 3: 318 (1863);California red fir;Pine family;http://d2seqvvyy3b8p2.cloudfront.net/6f733c76ce7d7c785ab3c1e747989728.jpg;brown;false;green;medium;brown;true;;;;Single Stem;Tree;;Slow;;false;false;;;;None;;4572;4572;50;6.1;5.0;;;;;;Pinus nobilis var. magnifica,Pseudotsuga magnifica;California,Nevada,Oregon;;https://plants.usda.gov/core/profile?symbol=ABMA;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325664-2;;;;;https://en.wikipedia.org/wiki/Abies magnifica
101156;Abies procera;species;Abies;Pinaceae;1940;Rehder;Rhodora 42: 522 (1940);Noble fir;Pine family;https://bs.floristic.org/image/o/683fe506efccb6304d5a70c076c30beef4c51a6c;;false;green;medium;purple;true;;;;Single Stem;Tree;;Rapid;;false;false;;;;None;;7010;7010;50;7.5;6.0;;;;;;Picea nobilis,Abies procera f. glauca,Picea nobilis var. glauca,Pseudotsuga nobilis,Abies nobilis var. glauca;California,Oregon,Washington,Denmark,Germany,Great Britain,Ireland,Norway;Red fir,Christmastree,Noble fir,White fir;https://plants.usda.gov/core/profile?symbol=ABPR;;;http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:676607-1;https://identify.plantnet.org/species/the-plant-list/Abies procera Rehder;https://www.gbif.org/species/2685308;;;https://en.wikipedia.org/wiki/Abies procera
